email,fax,form,govxcontentsection,govxdescription,language,managername,mmdOfficesTypes,mmdOfficesTypes_tid,nid,officenamecode,officetypecode,payments,receptionaddressnotes,receptionphonenumbers,title,websiteurl
ziad@bezeqint.net,04-8837228,"{""onlineurl"": ""~"", ""email"": ""ziad@bezeqint.net"", ""fax"": ""04-8837228"", ""letter"": ""\u05ea.\u05d3.67, \u05db\u05e4\u05e8 \u05d2'\u05d5\u05dc\u05d9\u05e1 \u05de\u05d9\u05e7\u05d5\u05d3 2498000""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,מועצה מקומית ג'וליס,und,זיאד הינו,רשות מקומית,60,842,4051,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d3\u05e7\u05e1\u05d9\u05d4 : 68\r\n \u05e1\u05e0\u05d9\u05e3 001\r\n\u05de\u05e1' \u05d7\u05e9\u05d1\u05d5\u05df 226459006\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d3\u05e7\u05e1\u05d9\u05d4 : 68\r\n \u05e1\u05e0\u05d9\u05e3 001\r\n\u05de\u05e1' \u05d7\u05e9\u05d1\u05d5\u05df 226459006\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד.67, כפר ג'וליס מיקוד 2498000",04-8837200 ; 04-8837204,מועצה מקומית גוליס,"{""url"": """", ""title"": """"}"
,04-6980401,"{""onlineurl"": """", ""email"": """", ""fax"": ""04-6980401"", ""letter"": ""\u05d2\u05d5\u05e9 \u05d7\u05dc\u05d1 1387200""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,סאבא אליאס,רשות מקומית,60,471,4061,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05e2\u05e8\u05d1\u05d9-\u05d9\u05e9\u05e8\u05d0\u05dc\u05d9, \u05e1\u05e0\u05d9\u05e3 035, \u05d7\u05e9\u05d1\u05d5\u05df 100/19"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05e2\u05e8\u05d1\u05d9-\u05d9\u05e9\u05e8\u05d0\u05dc\u05d9, \u05e1\u05e0\u05d9\u05e3 035, \u05d7\u05e9\u05d1\u05d5\u05df 100/19"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",גוש חלב 1387200,04-9527902,מועצה מקומית גוש חלב,"{""url"": ""http://www.jish.org.il"", ""title"": ""http://www.jish.org.il""}"
arabasyosef2@gmail.com,03/9396069,"{""onlineurl"": ""~"", ""email"": ""arabasyosef2@gmail.com"", ""fax"": ""03/9396069"", ""letter"": ""\u05de\u05d5\u05e2\u05e6\u05d4 \u05de\u05e7\u05d5\u05de\u05d9\u05ea \u05d2'\u05dc\u05d2'\u05d5\u05dc\u05d9\u05d4\r\n\u05d2'\u05dc\u05d2'\u05d5\u05dc\u05d9\u05d4 \u05de\u05d9\u05e7\u05d5\u05d3 45850\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,מועצה מקומית ג'לג'וליה,und,יוסף ערבאס,רשות מקומית,60,843,4052,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9 \u05dc\u05d9\u05e9\u05e8\u05d0\u05dc \u05e1\u05e0\u05d9\u05e3 \u05d2'\u05dc\u05d2'\u05d5\u05dc\u05d9\u05d4\r\n\u05de\u05e1' \u05d7\u05e9\u05d1\u05d5\u05df 800/87\r\n\u05e1\u05e0\u05d9\u05e3 757\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9 \u05dc\u05d9\u05e9\u05e8\u05d0\u05dc \u05e1\u05e0\u05d9\u05e3 \u05d2'\u05dc\u05d2'\u05d5\u05dc\u05d9\u05d4\r\n\u05de\u05e1' \u05d7\u05e9\u05d1\u05d5\u05df 800/87\r\n\u05e1\u05e0\u05d9\u05e3 757\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מועצה מקומית ג'לג'וליה
ג'לג'וליה מיקוד 45850",03/9396791 ; 03/9397493,מועצה מקומית גלגוליה,"{""url"": ""www/jaljulye.muni.il"", ""title"": ""www/jaljulye.muni.il""}"
yael@gan-yavne.co.il,08-8574566,"{""onlineurl"": ""~"", ""email"": ""yael@gan-yavne.co.il"", ""fax"": ""08-8574566"", ""letter"": ""\u05e8\u05d7' \u05d4\u05e8\u05e6\u05dc 1, \u05ea.\u05d3. 45, \u05d2\u05df \u05d9\u05d1\u05e0\u05d4 7080000""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,יעל צוברי,רשות מקומית,60,473,4065,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 647, \u05d7\u05e9\u05d1\u05d5\u05df 7290"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 647, \u05d7\u05e9\u05d1\u05d5\u05df 7290"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","רח' הרצל 1, ת.ד. 45, גן יבנה 7080000",08-8545669/666,מועצה מקומית גן יבנה,"{""url"": ""http://www.ganyavne.muni.il"", ""title"": ""http://www.ganyavne.muni.il""}"
,04-6701996,"{""onlineurl"": """", ""email"": """", ""fax"": ""04-6701996"", ""letter"": ""\u05ea.\u05d3. 5, \u05d3\u05d1\u05d5\u05e8\u05d9\u05d4 1691000""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,יוספיה זהוריא,רשות מקומית,60,852,4068,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05e2\u05e8\u05d1\u05d9 \u05d9\u05e9\u05e8\u05d0\u05dc, \u05e1\u05e0\u05d9\u05e3 029, \u05d7\u05e9\u05d1\u05d5\u05df 14800/42\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05e2\u05e8\u05d1\u05d9 \u05d9\u05e9\u05e8\u05d0\u05dc, \u05e1\u05e0\u05d9\u05e3 029, \u05d7\u05e9\u05d1\u05d5\u05df 14800/42"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 5, דבוריה 1691000",04-6702243,מועצה מקומית דבוריה,"{""url"": """", ""title"": """"}"
,04-8394301,"{""onlineurl"": """", ""email"": """", ""fax"": ""04-8394301"", ""letter"": ""\u05d4\u05de\u05d5\u05e2\u05e6\u05d4 \u05d4\u05de\u05e7\u05d5\u05de\u05d9\u05ea - \u05d3\u05dc\u05d9\u05d9\u05ea \u05d0\u05dc-\u05db\u05e8\u05de\u05dc 3005600""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,דאהש חלבי,רשות מקומית,60,474,4072,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d3\u05e7\u05e1\u05d9\u05d4 \u05d9\u05e9\u05e8\u05d0\u05dc, \u05e1\u05e0\u05d9\u05e3 001, \u05d7\u05e9\u05d1\u05d5\u05df 221349009"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d3\u05e7\u05e1\u05d9\u05d4 \u05d9\u05e9\u05e8\u05d0\u05dc, \u05e1\u05e0\u05d9\u05e3 001, \u05d7\u05e9\u05d1\u05d5\u05df 221349009"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",המועצה המקומית - דליית אל-כרמל 3005600,04-8301905,מועצה מקומית דליית אל-כרמל,"{""url"": ""http://www.daliat-carmel.org.il"", ""title"": ""http://www.daliat-carmel.org.il""}"
yaron@har-adar.muni.il,02-5700127,"{""onlineurl"": ""~"", ""email"": ""yaron@har-adar.muni.il"", ""fax"": ""02-5700127"", ""letter"": ""\u05d3.\u05e0. \u05d4\u05e8\u05d9 \u05d9\u05d4\u05d5\u05d3\u05d4, \u05de\u05d5\u05e2\u05e6\u05d4 \u05de\u05e7\u05d5\u05de\u05d9\u05ea \u05d4\u05e8 \u05d0\u05d3\u05e8 9083600 ""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,ירון ארנון,רשות מקומית,60,858,4078,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 448, \u05d7\u05e9\u05d1\u05d5\u05df 59592"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 448, \u05d7\u05e9\u05d1\u05d5\u05df 59592"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ד.נ. הרי יהודה, מועצה מקומית הר אדר 9083600",02-5344710 שלוחה 121,מועצה מקומית הר אדר,"{""url"": ""http://www.har-adar.muni.il"", ""title"": ""http://www.har-adar.muni.il""}"
idan@hatzorg.co.il,04-6936641,"{""onlineurl"": ""~"", ""email"": ""idan@hatzorg.co.il"", ""fax"": ""04-6936641"", ""letter"": "" \u05d9\u05e6\u05d7\u05e7 \u05e9\u05de\u05d9\u05e8 2, \u05d7\u05e6\u05d5\u05e8 \u05d4\u05d2\u05dc\u05d9\u05dc\u05d9\u05ea 1035001""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,עידן לב רן,רשות מקומית,60,483,4096,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 715, \u05d7\u05e9\u05d1\u05d5\u05df 211161"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 715, \u05d7\u05e9\u05d1\u05d5\u05df 211161"", ""treasury"": ""\u05ea\u05e9\u05dc\u05d5\u05dd \u05d1\u05de\u05d6\u05d5\u05de\u05df \u05d1\u05e8\u05e9\u05d5\u05ea"", ""check"": """", ""phone"": """", ""cash"": """"}","יצחק שמיר 2, חצור הגלילית 1035001",04-6916903,מועצה מקומית חצור הגלילית,"{""url"": ""http://www.hatzorg.co.il"", ""title"": ""http://www.hatzorg.co.il""}"
h.meida@harish.muni.il,04-6255005,"{""onlineurl"": ""~"", ""email"": ""h.meida@harish.muni.il"", ""fax"": ""04-6255005"", ""letter"": ""\u05d3.\u05e0. \u05de\u05e0\u05e9\u05d4 3786100""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,אופיר אפל,רשות מקומית,60,870,4097,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 954, \u05de\u05e1' \u05d7-\u05df: 179500/09\r\n\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 954, \u05de\u05e1' \u05d7-\u05df: 179500/09"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",ד.נ. מנשה 3786100,04-6186062,מועצה מקומית חריש,"{""url"": ""http://www.harish.muni.il/"", ""title"": ""http://www.harish.muni.il/""}"
orsan@turan.muni.il,0732139703,"{""onlineurl"": ""~"", ""email"": ""orsan@turan.muni.il"", ""fax"": ""0732139703"", ""letter"": ""\u05ea.\u05d3. 1749, \u05d8\u05d5\u05e8\u05e2\u05d0\u05df 1695000""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,עורסאן סבאח,רשות מקומית,60,873,4100,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05de\u05e8\u05db\u05e0\u05ea\u05d9\u05dc \u05d3\u05d9\u05e1\u05e7\u05d5\u05e0\u05d8 \u05d1\u05e2\""\u05de. \u05e1\u05e0\u05d9\u05e3 \u05d8\u05d5\u05e8\u05e2\u05d0\u05df- 632.\r\n\u05de\u05e1\u05e4\u05e8 \u05d7\u05e9\u05d1\u05d5\u05df: 1600437"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05de\u05e8\u05db\u05e0\u05ea\u05d9\u05dc \u05d3\u05d9\u05e1\u05e7\u05d5\u05e0\u05d8 \u05d1\u05e2\""\u05de. \u05e1\u05e0\u05d9\u05e3 \u05d8\u05d5\u05e8\u05e2\u05d0\u05df- 632.\r\n\u05de\u05e1\u05e4\u05e8 \u05d7\u05e9\u05d1\u05d5\u05df: 1600437"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 1749, טורעאן 1695000",04-6414003,מועצה מקומית טורעאן,"{""url"": ""http://www.turan.muni.il"", ""title"": ""http://www.turan.muni.il""}"
yesod@iula.org.il,04-6934390,"{""onlineurl"": ""~"", ""email"": ""yesod@iula.org.il"", ""fax"": ""04-6934390"", ""letter"": ""\u05d9\u05e1\u05d5\u05d3 \u05d4\u05de\u05e2\u05dc\u05d4 1210500""}",הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.,,und,בני טויטו,רשות מקומית,60,486,4111,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 727, \u05d7\u05e9\u05d1\u05d5\u05df 45160059"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05d3\u05d5\u05d0\u05e8, \u05e1\u05e0\u05d9\u05e3 001, \u05d7\u05e9\u05d1\u05d5\u05df 5310094"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",יסוד המעלה 1210500,04-6937511,מועצה מקומית יסוד המעלה,"{""url"": ""http://www.yesud-hamaala.muni.il"", ""title"": ""http://www.yesud-hamaala.muni.il""}"
s@yaffa.org.il,04-6557545,"{""onlineurl"": ""~"", ""email"": ""s@yaffa.org.il"", ""fax"": ""04-6557545"", ""letter"": ""\u05d9\u05e4\u05d9\u05e2 1695500""}",הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.,,und,סמי מרג'יה,רשות מקומית,60,487,4112,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 726, \u05d7\u05e9\u05d1\u05d5\u05df 14036"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 726, \u05d7\u05e9\u05d1\u05d5\u05df 14036"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",יפיע 1695500,04-6557500,מועצה מקומית יפיע,"{""url"": ""http://www.yaffa.org/he/index.aspx"", ""title"": ""http://www.yaffa.org/he/index.aspx""}"
lishka1@iula.org.il,08-9972731,"{""onlineurl"": ""~"", ""email"": ""lishka1@iula.org.il"", ""fax"": ""08-9972731"", ""letter"": ""\u05ea.\u05d3. 6421, \u05d1\u05d0\u05e8 \u05e9\u05d1\u05e2 8416202""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,עומר אבו עג'אג',רשות מקומית,60,488,4119,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 668, \u05d7\u05e9\u05d1\u05d5\u05df 68371"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 668, \u05d7\u05e9\u05d1\u05d5\u05df 68371"", ""treasury"": ""\u05ea\u05e9\u05dc\u05d5\u05dd \u05d1\u05de\u05d6\u05d5\u05de\u05df \u05d1\u05e8\u05e9\u05d5\u05ea"", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 6421, באר שבע 8416202",08-6591300,מועצה מקומית כסייפה,"{""url"": ""http://kuseife.net"", ""title"": ""http://kuseife.net""}"
maadams.639@gmail.com,04-9873483,"{""onlineurl"": ""~"", ""email"": ""maadams.639@gmail.com "", ""fax"": ""04-9873483"", ""letter"": ""\u05ea.\u05d3. 396, \u05db\u05e1\u05e8\u05d0-\u05e1\u05de\u05d9\u05e2 2013800""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,מעדא עבדאללה,רשות מקומית,60,489,4120,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05e2\u05e8\u05d1\u05d9 \u05d9\u05e9\u05e8\u05d0\u05dc 10-900/2600/73 "", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05e2\u05e8\u05d1\u05d9 \u05d9\u05e9\u05e8\u05d0\u05dc 10-900/2600/73 "", ""treasury"": ""\u05ea\u05e9\u05dc\u05d5\u05dd \u05d1\u05de\u05d6\u05d5\u05de\u05df \u05d1\u05e8\u05e9\u05d5\u05ea"", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 396, כסרא-סמיע 2013800",04-6166813,מועצה מקומית כסרא-סמיע,"{""url"": ""http://www.ma-galil.org.il/yishuvim/smia.htm"", ""title"": ""http://www.ma-galil.org.il/yishuvim/smia.htm ""}"
mamon6@gmail.com,039382018; 039026259,"{""onlineurl"": """", ""email"": ""mamon6@gmail.com"", ""fax"": ""039382018; 039026259"", ""letter"": ""\u05ea.\u05d3 661 \u05db\u05e4\u05e8 \u05d1\u05e8\u05d0 \u05de\u05d9\u05e7\u05d5\u05d3 4586300 \r\n\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,עאצי מאמון עבדל קאדר,רשות מקומית,60,490,4122,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05de\u05e8\u05db\u05e0\u05ea\u05d9\u05dc, \u05e1\u05e0\u05d9\u05e3 755, \u05d7\u05e9\u05d1\u05d5\u05df 2252"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05de\u05e8\u05db\u05e0\u05ea\u05d9\u05dc, \u05e1\u05e0\u05d9\u05e3 755, \u05d7\u05e9\u05d1\u05d5\u05df 2252"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",ת.ד 661 כפר ברא מיקוד 4586300,039389173; 039024284,מועצה מקומית כפר ברא,"{""url"": """", ""title"": """"}"
anat@k-vradim.org.il,04-9979131,"{""onlineurl"": ""~"", ""email"": ""anat@k-vradim.org.il"", ""fax"": ""04-9979131"", ""letter"": ""\u05ea.\u05d3. 501, \u05db\u05e4\u05e8 \u05d5\u05e8\u05d3\u05d9\u05dd 2514700""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,ענת מינסטר,רשות מקומית,60,888,4123,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d4\u05d1\u05e0\u05e7 \u05d4\u05d1\u05d9\u05e0\u05dc\u05d0\u05d5\u05de\u05d9 \u05de\u05e1' 31, \u05e1\u05e0\u05d9\u05e3 120 \u05db\u05e4\u05e8 \u05d5\u05e8\u05d3\u05d9\u05dd , \u05d7\u05e9\u05d1\u05d5\u05df \u05de\u05e1'- 409107549\r\n\r\n"", ""postalbank"": ""\u05d4\u05d1\u05e0\u05e7 \u05d4\u05d1\u05d9\u05e0\u05dc\u05d0\u05d5\u05de\u05d9 \u05de\u05e1' 31, \u05e1\u05e0\u05d9\u05e3 120 \u05db\u05e4\u05e8 \u05d5\u05e8\u05d3\u05d9\u05dd , \u05d7\u05e9\u05d1\u05d5\u05df \u05de\u05e1'- 409107549\r\n\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 501, כפר ורדים 2514700",04-9977142 שלוחה 101,מועצה מקומית כפר ורדים,"{""url"": """", ""title"": """"}"
hofesh-hameida@kafr-yasif.muni.il,04-9961801,"{""onlineurl"": ""~"", ""email"": ""hofesh-hameida@kafr-yasif.muni.il"", ""fax"": ""04-9961801"", ""letter"": ""\u05ea.\u05d3. 994, \u05db\u05e4\u05e8 \u05d9\u05d0\u05e1\u05d9\u05e3 2490800""}",הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.,,und,והיב תומא,רשות מקומית,60,491,4124,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05de\u05e8\u05db\u05e0\u05ea\u05d9\u05dc, \u05e1\u05e0\u05d9\u05e3 691, \u05d7\u05e9\u05d1\u05d5\u05df 151564"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05de\u05e8\u05db\u05e0\u05ea\u05d9\u05dc, \u05e1\u05e0\u05d9\u05e3 691, \u05d7\u05e9\u05d1\u05d5\u05df 151564"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 994, כפר יאסיף 2490800",04-9569800,מועצה מקומית כפר יאסיף,"{""url"": ""http://www.kafr-yasif.muni.il"", ""title"": ""http://www.kafr-yasif.muni.il""}"
alisb@kfar-yona.org.il,09-8971114,"{""onlineurl"": ""~"", ""email"": ""alisb@kfar-yona.org.il"", ""fax"": ""09-8971114"", ""letter"": ""\u05e8\u05d7' \u05e9\u05e8\u05ea 1, \u05ea.\u05d3. 45, \u05db\u05e4\u05e8 \u05d9\u05d5\u05e0\u05d4 4035801""}",הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.,,und,אליס בדש חג'ג',רשות מקומית,60,492,4125,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 675, \u05d7\u05e9\u05d1\u05d5\u05df 367943"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 675, \u05d7\u05e9\u05d1\u05d5\u05df 367943"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","רח' שרת 1, ת.ד. 45, כפר יונה 4035801",09-8971113,מועצה מקומית כפר יונה,"{""url"": ""http://www.kfar-yona.muni.il"", ""title"": ""http://www.kfar-yona.muni.il""}"
blalkh65@gmail.com,04-6951212,"{""onlineurl"": ""~"", ""email"": ""blalkh65@gmail.com"", ""fax"": ""04-6951212"", ""letter"": ""\u05e8\u05de\u05ea \u05d4\u05d2\u05d5\u05dc\u05df 1244000""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,בלאל ח'טיב,רשות מקומית,60,507,4184,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 718, \u05d7\u05e9\u05d1\u05d5\u05df 204808"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 718, \u05d7\u05e9\u05d1\u05d5\u05df 204808"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",רמת הגולן 1244000,04-6951213,מועצה מקומית כפר ע'ג'ר,"{""url"": ""http://ghajarlc.org.il/webPro"", ""title"": ""http://ghajarlc.org.il/webPro""}"
gizbar@kfar.org.il,09-9505385,"{""onlineurl"": ""~"", ""email"": ""gizbar@kfar.org.il"", ""fax"": ""09-9505385"", ""letter"": ""\u05e7\u05e8\u05df \u05d4\u05d9\u05e1\u05d5\u05d3 13, \u05db\u05e4\u05e8 \u05e9\u05de\u05e8\u05d9\u05d4\u05d5 4691000""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,הדס חדד,רשות מקומית,60,895,4132,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 844, \u05d7\u05e9\u05d1\u05d5\u05df 125/02 \r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 844, \u05d7\u05e9\u05d1\u05d5\u05df 125/02 \r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","קרן היסוד 13, כפר שמריהו 4691000",09-9506699,מועצה מקומית כפר שמריהו,"{""url"": ""http://www.kfar-shemaryahu.muni.il"", ""title"": ""http://www.kfar-shemaryahu.muni.il""}"
shlomo@kefar-tavor.muni.il,04-6766732,"{""onlineurl"": ""~"", ""email"": ""shlomo@kefar-tavor.muni.il"", ""fax"": ""04-6766732"", ""letter"": ""\u05ea.\u05d3. 318, \u05db\u05e4\u05e8 \u05ea\u05d1\u05d5\u05e8 1524100""}",הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.,,und,שלמה אלקחר,רשות מקומית,60,493,4133,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 549, \u05d7\u05e9\u05d1\u05d5\u05df 5900"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 549, \u05d7\u05e9\u05d1\u05d5\u05df 5900"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 318, כפר תבור 1524100",04-6769991,מועצה מקומית כפר תבור,"{""url"": ""http://www.kefar-tavor.muni.il"", ""title"": ""http://www.kefar-tavor.muni.il""}"
